unique_no,sex,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,location,offspring,orientation,pets,religion,sign,smokes,speaks,status,question1,question2,question3,question4,question5,weight
6093,m,58,average,anything,socially,never,dropped out of ph.d program,asian,67,-1,education / academia,"palo alto, california",,straight,likes dogs and likes cats,agnosticism,virgo,no,"english,",single,10,10,1,4,1,57
6094,f,31,average,anything,socially,never,graduated from college/university,asian,64,-1,,"berkeley, california",,gay,,buddhism,cancer,,"english,",single,7,4,4,1,9,96
6095,f,40,average,anything,rarely,never,graduated from college/university,asian,62,-1,political / government,"millbrae, california","has a kid, but doesn&rsquo;t want more",straight,,catholicism,scorpio,no,english,single,9,5,7,9,3,62
6096,f,37,fit,vegan,socially,never,graduated from masters program,white,65,-1,other,"san francisco, california",,gay,likes dogs and likes cats,judaism,pisces,,english,single,8,2,3,10,3,52
6097,f,30,thin,anything,socially,never,graduated from college/university,white,67,-1,artistic / musical / writer,"san francisco, california",,straight,,other,aquarius,,english,single,5,1,7,7,4,59
6098,m,28,fit,anything,socially,never,graduated from masters program,white,74,-1,science / tech / engineering,"san francisco, california",,straight,likes dogs and dislikes cats,christianity,aquarius,,"english,",single,5,9,4,7,5,61
6099,m,24,athletic,anything,socially,never,graduated from college/university,asian  white,70,-1,,"san francisco, california",,straight,likes dogs,catholicism,aquarius,no,english,single,3,3,8,9,5,91
6100,m,23,athletic,anything,socially,never,graduated from high school,white,63,-1,transportation,"walnut creek, california",,straight,has dogs and likes cats,other,aquarius,no,english,single,8,3,3,9,7,90
6101,m,34,thin,vegetarian,socially,never,graduated from college/university,white,75,-1,computer / hardware / software,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes cats,atheism,cancer,sometimes,english,single,5,2,3,8,5,79
6102,m,23,thin,anything,not at all,never,working on college/university,white,71,-1,student,"san francisco, california",,straight,has dogs and likes cats,atheism,libra,no,english,single,7,5,3,5,2,62
6103,m,40,thin,anything,socially,never,graduated from masters program,white,73,-1,medicine / health,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,catholicism,aries,no,english,single,3,4,8,10,9,57
6104,m,40,thin,anything,socially,never,graduated from space camp,white,74,-1,computer / hardware / software,"berkeley, california",,straight,has dogs and has cats,other,pisces,no,english,single,3,7,9,4,2,76
6105,m,23,average,anything,socially,sometimes,graduated from college/university,white  other,69,-1,entertainment / media,"berkeley, california",doesn&rsquo;t have kids,straight,likes dogs,atheism,pisces,no,"english,",single,8,8,3,7,9,86
6106,m,27,fit,kosher,socially,sometimes,graduated from masters program,white,72,20000,education / academia,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,other,virgo,no,english,single,6,10,8,10,1,70
6107,m,33,fit,vegetarian,not at all,never,working on college/university,middle eastern  hispanic   latin,74,20000,other,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs,atheism,pisces,yes,english,single,7,3,5,7,4,88
6108,m,27,fat,vegan,desperately,often,working on space camp,hispanic   latin,72,-1,artistic / musical / writer,"san francisco, california",doesn&rsquo;t want kids,straight,dislikes dogs and dislikes cats,hinduism,cancer,no,english,single,4,3,3,9,6,70
6109,m,23,average,anything,socially,never,graduated from college/university,hispanic   latin  white,74,-1,medicine / health,"san francisco, california",,straight,likes dogs,atheism,cancer,no,english,single,7,10,3,5,9,82
6110,m,29,average,anything,socially,never,graduated from college/university,white,68,-1,executive / management,"san francisco, california",,straight,,agnosticism,cancer,no,english,single,5,3,3,6,5,80
6111,m,30,average,anything,socially,never,working on masters program,white,67,-1,education / academia,"san francisco, california",,straight,likes dogs,atheism,pisces,no,english,single,5,7,4,6,6,50
6112,m,37,athletic,anything,socially,never,graduated from college/university,white,78,100000,executive / management,"san francisco, california",,straight,likes dogs,other,capricorn,no,english,single,1,9,10,1,10,68
6113,m,29,athletic,vegetarian,socially,never,graduated from masters program,white,70,-1,science / tech / engineering,"palo alto, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism,aquarius,no,english,single,8,6,7,1,5,92
6114,m,32,athletic,anything,rarely,sometimes,graduated from college/university,white,72,40000,artistic / musical / writer,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism,taurus,no,english,single,1,9,9,7,5,99
6115,m,26,fit,anything,socially,never,graduated from college/university,white,71,100000,computer / hardware / software,"san francisco, california",,straight,likes dogs and likes cats,atheism,aries,no,"english,",single,9,8,5,2,7,69
6116,m,34,athletic,anything,socially,never,graduated from college/university,white,69,-1,science / tech / engineering,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,,christianity,aries,no,english,single,6,6,5,3,3,51
6117,m,37,fit,anything,socially,never,graduated from college/university,white,72,-1,,"san francisco, california",,gay,,other,aries,,"english,",single,6,6,6,10,5,91
6118,m,42,average,anything,not at all,never,dropped out of college/university,other,68,60000,construction / craftsmanship,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,has cats,other,taurus,trying to quit,english,single,8,10,4,8,2,59
6119,m,26,fat,anything,rarely,never,graduated from college/university,asian,67,-1,political / government,"alameda, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other,virgo,no,english,single,9,1,5,7,8,89
6120,m,26,average,anything,socially,never,,asian,69,-1,computer / hardware / software,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and has cats,atheism,pisces,no,english,single,5,1,3,7,6,96
6121,m,41,fit,vegetarian,socially,never,dropped out of college/university,white,67,150000,computer / hardware / software,"mill valley, california",,straight,,atheism,taurus,no,english,single,9,3,7,10,7,78
6122,m,57,fit,anything,not at all,never,graduated from college/university,white,75,-1,artistic / musical / writer,"oakland, california",,gay,likes dogs and likes cats,other,taurus,no,"english,",single,6,9,2,1,5,58
6123,m,25,average,anything,socially,never,working on college/university,native american,69,-1,sales / marketing / biz dev,"san francisco, california",,gay,likes dogs,christianity,leo,sometimes,"english,",single,10,2,1,6,9,72
6124,m,40,athletic,anything,socially,never,graduated from masters program,white,75,-1,hospitality / travel,"san francisco, california",,straight,likes dogs,other,leo,no,"english,",single,6,1,1,9,2,61
6125,m,34,fit,anything,socially,never,,asian  hispanic   latin  other,70,-1,entertainment / media,"san francisco, california",,straight,,other,taurus,no,english,single,7,3,1,1,4,88
6126,m,26,athletic,anything,socially,never,graduated from college/university,hispanic   latin  white  other,73,-1,executive / management,"san mateo, california",,straight,likes dogs,other,scorpio,no,english,single,1,8,2,1,3,73
6127,m,27,athletic,anything,socially,never,working on masters program,asian,71,-1,,"berkeley, california",,straight,,other,capricorn,no,english,single,4,2,9,1,5,55
6128,m,28,athletic,anything,socially,never,graduated from college/university,white,68,60000,other,"san francisco, california",,straight,likes dogs,agnosticism,capricorn,no,english,single,6,5,10,2,7,72
6129,m,24,thin,anything,socially,never,graduated from college/university,white,72,-1,entertainment / media,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other,taurus,no,english,single,3,8,1,8,5,91
6130,m,34,fit,other,rarely,never,,white,71,-1,artistic / musical / writer,"berkeley, california",,straight,has dogs,other,taurus,no,english,single,2,5,5,6,2,92
6131,f,28,average,vegetarian,socially,never,graduated from law school,white,67,-1,law / legal services,"san francisco, california",,straight,,atheism,taurus,no,english,available,6,4,8,4,5,50
6132,m,29,fit,anything,socially,never,graduated from masters program,white,73,-1,science / tech / engineering,"san francisco, california",,straight,likes dogs and likes cats,other,taurus,no,english,single,7,1,2,2,10,61
6133,m,58,fat,anything,socially,never,graduated from masters program,white,69,-1,other,"san francisco, california",doesn&rsquo;t want kids,straight,,other,cancer,no,english,single,1,7,2,2,3,70
6134,m,32,average,vegetarian,socially,never,graduated from college/university,white,66,50000,entertainment / media,"san francisco, california",,straight,likes dogs and likes cats,agnosticism,aries,no,english,seeing someone,2,2,9,5,9,91
6135,m,31,average,anything,socially,sometimes,graduated from law school,white,69,50000,law / legal services,"san francisco, california",,straight,,other,sagittarius,when drinking,english,single,10,3,7,7,2,75
6136,m,27,athletic,vegetarian,socially,never,graduated from college/university,white,76,-1,,"palo alto, california",,straight,,other,capricorn,no,"english,",single,5,5,1,7,5,56
6137,m,21,thin,anything,socially,never,working on college/university,asian,64,-1,student,"san francisco, california",,straight,likes dogs,other,sagittarius,no,"english,",single,4,9,9,9,6,85
6138,f,63,fat,anything,socially,never,,asian,62,60000,other,"novato, california",has kids,straight,,other,scorpio,no,english,single,1,5,10,6,8,85
6139,m,57,fit,other,socially,never,graduated from high school,white,74,-1,other,"benicia, california",,straight,,christianity,aries,no,"english,",single,6,5,3,6,5,68
6140,m,41,fit,anything,socially,sometimes,graduated from college/university,white,68,-1,other,"san francisco, california",,straight,likes dogs,agnosticism,aries,when drinking,english,single,3,5,3,1,2,76
6141,m,36,average,anything,socially,never,graduated from college/university,hispanic   latin,67,-1,science / tech / engineering,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,catholicism,aries,no,english,single,3,10,9,5,10,79
6142,m,36,fat,vegetarian,not at all,never,dropped out of college/university,white,79,100000,science / tech / engineering,"san mateo, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,atheism,gemini,yes,english,single,10,1,6,10,10,68
6143,f,45,fat,anything,socially,never,graduated from college/university,other,69,-1,sales / marketing / biz dev,"san francisco, california",,straight,has dogs,other,leo,yes,english,single,9,8,5,1,10,88
6144,m,26,fit,anything,often,never,college/university,white,67,-1,education / academia,"san francisco, california",might want kids,straight,likes dogs and likes cats,atheism,libra,when drinking,"english,",available,7,6,7,6,6,94
6145,m,26,thin,anything,socially,never,working on college/university,white,73,-1,other,"san francisco, california",,gay,likes dogs and likes cats,other,leo,no,english,single,8,5,8,2,1,86
6146,m,43,athletic,anything,socially,never,graduated from masters program,asian,70,-1,computer / hardware / software,"san francisco, california",,straight,,other,gemini,no,english,single,5,8,1,1,6,66
6147,m,24,average,anything,rarely,never,dropped out of college/university,white,70,-1,computer / hardware / software,"san francisco, california",,gay,likes dogs and likes cats,buddhism,gemini,no,english,single,10,3,3,8,7,88
6148,m,29,athletic,anything,socially,never,graduated from masters program,asian,67,-1,computer / hardware / software,"mountain view, california",,straight,likes dogs,atheism,scorpio,sometimes,english,available,1,9,5,2,5,59
6149,m,34,fit,anything,socially,never,graduated from college/university,white,70,-1,computer / hardware / software,"san francisco, california",,straight,,other,libra,no,english,single,9,8,9,1,2,88
6150,m,33,athletic,anything,socially,never,,white,73,-1,,"san francisco, california",,straight,,other,libra,no,english,single,7,7,5,5,8,66
6151,m,37,fat,anything,socially,never,graduated from college/university,white,70,80000,political / government,"san francisco, california",,straight,likes dogs and likes cats,judaism,capricorn,no,english,single,5,8,8,7,8,66
6152,m,37,fat,anything,rarely,never,graduated from space camp,black  native american  white  other,75,50000,education / academia,"oakland, california",,straight,,other,virgo,trying to quit,english,single,6,7,8,8,5,65
6153,m,25,average,anything,socially,never,,asian  middle eastern  black  native american  indian  pacific islander  hispanic   latin  white  other,69,1000000,retired,"san francisco, california",,straight,likes dogs and likes cats,other,virgo,,english,single,2,3,9,4,5,56
6154,m,24,fit,kosher,rarely,never,working on college/university,white,77,20000,sales / marketing / biz dev,"san francisco, california",,straight,likes dogs and likes cats,judaism,aquarius,no,english,single,4,5,6,4,4,85
6155,m,31,athletic,anything,socially,never,college/university,white,77,-1,executive / management,"san francisco, california",,straight,,other,aquarius,no,"english,",single,1,4,6,8,1,77
6156,m,26,thin,anything,often,never,graduated from masters program,white,72,-1,other,"atherton, california",,straight,likes dogs and likes cats,atheism,gemini,no,english,single,3,3,8,9,1,65
6157,m,24,fit,anything,often,never,graduated from college/university,white,70,-1,computer / hardware / software,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,agnosticism,cancer,no,english,single,10,9,2,3,8,69
6158,m,37,thin,anything,socially,never,graduated from masters program,white,75,150000,executive / management,"san francisco, california",,straight,,other,scorpio,no,"english,",single,8,7,6,2,2,77
6159,m,24,average,anything,socially,never,graduated from college/university,black  other,72,-1,sales / marketing / biz dev,"pacifica, california",,straight,likes dogs,catholicism,gemini,no,"english,",single,5,1,3,5,1,60
6160,m,40,average,anything,socially,never,graduated from ph.d program,black  other,70,50000,education / academia,"berkeley, california",,straight,,other,virgo,no,english,single,3,3,8,5,1,80
6161,m,24,athletic,anything,socially,never,working on med school,white,71,-1,,"san francisco, california",,straight,,other,virgo,no,english,single,10,5,1,5,3,91
6162,m,36,average,anything,socially,never,graduated from space camp,white,70,-1,entertainment / media,"san francisco, california",doesn&rsquo;t have kids,straight,,other,libra,no,english,single,2,4,4,2,10,97
6163,m,37,fit,anything,socially,never,graduated from college/university,white,69,-1,artistic / musical / writer,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,other,pisces,no,english,single,8,10,7,4,10,82
6164,m,22,fit,anything,socially,never,,white,72,-1,,"palo alto, california",,straight,,other,pisces,no,english,single,4,7,1,6,9,85
6165,m,25,average,anything,often,sometimes,graduated from college/university,white,73,-1,computer / hardware / software,"san francisco, california",,straight,likes dogs and likes cats,atheism,aries,no,english,single,3,7,7,2,6,61
6166,m,32,fat,anything,often,never,,white,75,80000,artistic / musical / writer,"oakland, california",,straight,has dogs,agnosticism,taurus,no,english,single,4,8,9,6,2,82
6167,m,40,athletic,anything,socially,never,graduated from masters program,white,73,-1,banking / financial / real estate,"san francisco, california",,straight,likes dogs and likes cats,christianity,capricorn,no,english,single,3,6,4,3,6,98
6168,m,30,athletic,anything,rarely,never,graduated from college/university,white,66,-1,law / legal services,"san francisco, california",,gay,likes dogs,other,virgo,no,english,single,1,8,7,8,7,90
6169,m,26,athletic,anything,socially,never,graduated from college/university,asian,69,60000,science / tech / engineering,"daly city, california","doesn&rsquo;t have kids, but might want them",straight,,atheism,taurus,no,english,single,3,1,8,2,7,80
6170,m,30,average,anything,socially,sometimes,graduated from college/university,white,71,-1,artistic / musical / writer,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,libra,sometimes,english,single,9,7,4,10,2,95
6171,m,30,athletic,anything,socially,sometimes,graduated from college/university,white,71,100000,computer / hardware / software,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,,atheism,scorpio,when drinking,english,single,6,5,7,9,10,97
6172,m,35,average,anything,often,sometimes,graduated from college/university,white,73,-1,computer / hardware / software,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,atheism,leo,no,english,single,1,9,4,6,7,85
6173,m,24,athletic,anything,often,sometimes,working on college/university,white,71,-1,student,"san francisco, california",,straight,likes dogs and dislikes cats,other,gemini,no,english,single,6,9,6,4,2,71
6174,m,24,average,anything,not at all,never,graduated from college/university,white,70,-1,science / tech / engineering,"san mateo, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other,gemini,no,english,single,6,8,3,10,4,65
6175,m,35,fat,anything,rarely,sometimes,working on college/university,asian  white,68,20000,artistic / musical / writer,"san leandro, california",,straight,,judaism,pisces,no,english,single,4,4,6,5,9,59
6176,m,28,average,anything,socially,never,graduated from college/university,white,72,100000,artistic / musical / writer,"san francisco, california",,straight,,buddhism,sagittarius,when drinking,english,single,7,6,8,4,2,97
6177,m,31,fit,vegetarian,socially,never,dropped out of college/university,white,68,-1,science / tech / engineering,"san francisco, california","doesn&rsquo;t have kids, but might want them",bisexual,likes dogs and likes cats,judaism,sagittarius,no,english,single,7,8,1,4,4,51
6178,m,25,fit,anything,socially,sometimes,graduated from college/university,white,66,-1,,"san francisco, california",,straight,likes dogs,judaism,taurus,yes,english,single,6,6,8,1,8,53
6179,m,28,athletic,anything,socially,never,,other,68,-1,law / legal services,"millbrae, california",,gay,,other,scorpio,no,english,single,9,2,9,6,2,59
6180,m,38,average,anything,socially,never,high school,white,67,-1,hospitality / travel,"hayward, california",,straight,has dogs,other,aries,when drinking,english,single,5,3,5,6,3,86
6181,m,25,athletic,anything,socially,never,graduated from college/university,white,72,-1,sales / marketing / biz dev,"san francisco, california",,straight,likes dogs and likes cats,agnosticism,leo,no,"english,",single,5,5,9,6,4,50
6182,m,32,athletic,other,socially,never,graduated from college/university,white,71,-1,artistic / musical / writer,"san francisco, california",,straight,likes dogs and likes cats,other,leo,no,"english,",single,4,6,9,2,5,50
6183,m,28,athletic,anything,socially,never,working on masters program,black  indian,75,-1,other,"san francisco, california",has a kid,straight,,other,sagittarius,,english,single,1,1,4,3,9,78
6184,m,34,athletic,anything,socially,never,graduated from ph.d program,asian,65,-1,education / academia,"oakland, california",,straight,likes dogs and likes cats,other,taurus,no,english,single,10,5,3,10,10,96
6185,m,26,average,anything,socially,sometimes,graduated from two-year college,white,74,100000,science / tech / engineering,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,atheism,aquarius,no,english,single,2,3,4,4,4,53
6186,m,27,average,anything,socially,never,working on college/university,white,73,20000,hospitality / travel,"san francisco, california",,straight,,christianity,aries,no,english,available,8,7,3,4,4,83
6187,m,27,athletic,anything,socially,sometimes,working on college/university,white,77,-1,hospitality / travel,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism,aquarius,yes,english,single,1,7,4,6,4,51
6188,m,37,athletic,anything,not at all,never,graduated from college/university,white,62,100000,computer / hardware / software,"san francisco, california",,bisexual,likes cats,other,aquarius,no,,single,3,6,5,8,3,87
6189,m,24,average,anything,socially,never,graduated from college/university,white,73,-1,science / tech / engineering,"san francisco, california",,straight,,judaism,aquarius,no,english,single,8,6,6,6,9,60
6190,m,35,average,anything,rarely,never,college/university,pacific islander,66,-1,medicine / health,"san francisco, california",,gay,,other,aquarius,no,english,single,5,5,8,1,2,70
6191,f,55,athletic,anything,socially,never,two-year college,white,67,-1,sales / marketing / biz dev,"oakland, california",doesn&rsquo;t want kids,straight,likes dogs and has cats,other,cancer,no,english,single,1,5,6,3,6,81
6192,m,40,fit,anything,socially,never,graduated from masters program,white,70,-1,education / academia,"san francisco, california",doesn&rsquo;t have kids,straight,,other,cancer,no,"english,",single,10,4,1,9,6,82
6193,m,28,thin,anything,not at all,sometimes,working on masters program,white  other,72,-1,education / academia,"oakland, california",,bisexual,likes dogs and has cats,other,aries,no,english,seeing someone,9,10,8,1,2,92
6194,m,32,athletic,anything,socially,never,graduated from college/university,white,69,-1,sales / marketing / biz dev,"san francisco, california",,straight,,agnosticism,leo,no,english,single,8,10,10,6,8,52
6195,m,24,thin,anything,socially,never,graduated from college/university,white,71,-1,computer / hardware / software,"palo alto, california",doesn&rsquo;t have kids,straight,likes dogs,other,aquarius,no,english,single,10,8,1,5,7,87
6196,m,24,athletic,anything,often,never,,native american  white  other,72,-1,other,"san francisco, california",,straight,,catholicism,aries,no,english,single,8,8,9,7,6,71
6197,m,34,average,anything,rarely,never,graduated from college/university,asian,64,-1,banking / financial / real estate,"san francisco, california",,straight,,other,gemini,no,english,single,1,7,4,8,5,70
6198,m,27,thin,anything,socially,sometimes,graduated from college/university,white,79,-1,other,"san francisco, california",,straight,likes dogs,other,gemini,no,english,single,3,7,1,8,2,81
6199,m,23,fat,anything,socially,never,graduated from masters program,white,73,-1,science / tech / engineering,"berkeley, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,atheism,gemini,no,english,single,4,10,2,5,2,91
6200,m,26,average,anything,socially,never,dropped out of space camp,white,70,-1,artistic / musical / writer,"novato, california",,straight,likes dogs and has cats,agnosticism,capricorn,no,english,single,1,4,7,1,10,99
6201,f,31,average,vegan,not at all,never,graduated from college/university,white,60,-1,,"vallejo, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",gay,likes dogs and likes cats,atheism,capricorn,no,english,single,4,4,6,4,6,85
6202,m,42,average,anything,socially,never,graduated from college/university,indian,68,100000,computer / hardware / software,"san francisco, california",,straight,likes dogs,atheism,aries,no,english,single,5,3,1,10,4,94
6203,m,25,athletic,anything,socially,never,,white,72,-1,,"san francisco, california",,straight,,other,aries,,english,single,8,8,2,10,6,62
6204,m,32,average,anything,socially,never,graduated from two-year college,asian,66,-1,artistic / musical / writer,"hayward, california",,straight,likes dogs and likes cats,other,aquarius,no,english,single,3,5,9,9,8,85
6205,m,29,fit,anything,socially,sometimes,graduated from college/university,asian  white,71,80000,science / tech / engineering,"san francisco, california",,straight,likes dogs,other,cancer,no,english,single,10,7,9,5,10,97
6206,m,29,fit,anything,rarely,never,graduated from college/university,asian  white,68,-1,entertainment / media,"richmond, california",,straight,likes cats,other,cancer,no,english,single,2,1,1,4,2,52
6207,m,25,fit,anything,socially,never,graduated from college/university,asian,70,150000,banking / financial / real estate,"san francisco, california",,straight,,christianity,cancer,no,english,single,1,5,8,4,4,99
6208,m,25,average,anything,socially,never,graduated from college/university,asian,69,-1,sales / marketing / biz dev,"san francisco, california",,straight,,other,leo,no,english,single,1,8,6,7,4,72
6209,m,32,fit,anything,socially,never,,white,72,100000,computer / hardware / software,"palo alto, california",doesn&rsquo;t want kids,straight,,other,taurus,yes,english,single,6,8,2,1,6,79
6210,m,23,fit,anything,socially,never,graduated from college/university,white,65,100000,computer / hardware / software,"san francisco, california",,straight,likes dogs,other,taurus,no,english,single,5,4,7,7,9,55
6211,m,40,fat,anything,not at all,never,,asian,65,-1,sales / marketing / biz dev,"san francisco, california",,straight,likes dogs and likes cats,other,gemini,no,english,single,7,6,4,7,4,56
6212,f,28,fat,anything,socially,never,graduated from two-year college,hispanic   latin  white,63,-1,education / academia,"oakland, california",doesn&rsquo;t have kids,straight,has dogs,other,sagittarius,,english,single,5,4,10,1,1,63
6213,m,28,fit,anything,socially,never,graduated from college/university,white,69,-1,science / tech / engineering,"san francisco, california",,gay,,christianity,leo,no,english,single,5,1,8,5,9,88
6214,f,30,fat,anything,socially,never,,white,68,-1,,"oakland, california",,gay,,other,leo,no,english,single,5,4,6,5,1,88
6215,f,43,fit,anything,socially,never,graduated from masters program,white,62,80000,banking / financial / real estate,"san francisco, california",doesn&rsquo;t want kids,straight,dislikes dogs,judaism,virgo,no,english,single,9,8,9,9,7,67
6216,m,34,fit,anything,socially,never,graduated from masters program,white,75,-1,sales / marketing / biz dev,"san francisco, california",,straight,,catholicism,libra,no,"english,",single,5,8,4,8,3,59
6217,m,32,athletic,anything,socially,never,dropped out of college/university,middle eastern  white,70,100000,computer / hardware / software,"san mateo, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and dislikes cats,judaism,taurus,no,english,single,4,4,9,5,1,77
6218,m,39,average,other,desperately,never,graduated from masters program,white,77,-1,artistic / musical / writer,"berkeley, california",,straight,,buddhism,virgo,no,"english,",available,7,10,4,6,5,93
6219,f,41,average,anything,socially,never,graduated from college/university,white,66,-1,other,"berkeley, california",,straight,likes dogs,other,sagittarius,no,english,single,10,4,3,8,7,82
6220,m,42,fat,anything,socially,never,dropped out of space camp,white,74,-1,computer / hardware / software,"berkeley, california","has a kid, but doesn&rsquo;t want more",straight,likes cats,other,capricorn,no,english,single,4,1,7,10,7,97
6221,m,27,thin,anything,socially,sometimes,working on ph.d program,white,72,-1,science / tech / engineering,"berkeley, california",,straight,likes dogs and likes cats,agnosticism,capricorn,no,english,single,2,9,7,3,10,98
6222,m,51,thin,anything,not at all,never,working on masters program,white,76,-1,student,"berkeley, california",doesn&rsquo;t have kids,bisexual,likes dogs and has cats,other,leo,no,english,single,1,2,6,6,9,57
6223,m,27,athletic,anything,socially,never,working on ph.d program,white,70,-1,,"berkeley, california",,straight,,other,leo,no,english,single,2,5,10,2,3,77
6224,f,22,average,anything,socially,never,graduated from college/university,white,66,-1,education / academia,"berkeley, california",,straight,,christianity,libra,no,english,single,1,4,10,2,10,80
6225,m,28,athletic,anything,often,sometimes,graduated from college/university,white,71,-1,sales / marketing / biz dev,"berkeley, california",doesn&rsquo;t have kids,straight,,other,virgo,sometimes,english,single,1,1,1,3,3,73
6226,f,31,fit,anything,socially,never,working on ph.d program,white,66,-1,education / academia,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,,christianity,scorpio,no,english,single,3,2,6,5,8,91
6227,f,29,fit,anything,socially,never,working on masters program,hispanic   latin,67,-1,,"berkeley, california",,straight,,other,gemini,when drinking,"english,",single,9,1,2,4,4,97
6228,m,38,fit,vegetarian,rarely,never,graduated from college/university,indian,74,-1,computer / hardware / software,"berkeley, california",doesn&rsquo;t have kids,straight,likes cats,other,aries,no,english,single,4,7,7,6,8,83
6229,m,26,thin,anything,socially,never,graduated from college/university,other,75,-1,science / tech / engineering,"berkeley, california",,straight,,other,libra,no,english,single,7,6,9,9,5,51
6230,f,36,average,vegetarian,socially,never,working on masters program,other,65,-1,student,"berkeley, california",,straight,,atheism,capricorn,no,english,single,7,4,9,3,1,99
6231,f,32,fat,anything,socially,never,graduated from college/university,white,68,-1,law / legal services,"berkeley, california",,straight,likes dogs and has cats,catholicism,leo,no,english,single,5,2,6,1,2,66
6232,m,30,fat,anything,socially,never,graduated from college/university,black,73,-1,sales / marketing / biz dev,"san francisco, california",,gay,,other,aquarius,no,english,single,3,7,1,9,10,50
6233,m,55,average,anything,rarely,never,graduated from masters program,white,70,80000,medicine / health,"berkeley, california",,gay,has cats,judaism,scorpio,no,english,single,4,6,4,5,6,86
6234,m,25,average,vegetarian,socially,sometimes,graduated from college/university,white,70,20000,artistic / musical / writer,"berkeley, california",,straight,has dogs and likes cats,agnosticism,pisces,when drinking,english,single,4,1,8,10,7,60
6235,m,22,athletic,anything,rarely,never,working on college/university,white,68,-1,student,"berkeley, california",,straight,has dogs and has cats,other,gemini,no,"english,",single,4,1,9,4,4,70
6236,m,18,fit,anything,not at all,never,graduated from high school,asian  white,72,-1,military,"berkeley, california",doesn&rsquo;t have kids,straight,has dogs,atheism,sagittarius,no,english,seeing someone,10,7,2,7,10,98
6237,f,54,average,anything,socially,never,graduated from masters program,white,67,-1,other,"berkeley, california","has a kid, but doesn&rsquo;t want more",straight,likes dogs and has cats,other,cancer,no,"english,",single,4,2,9,1,4,73
6238,m,52,average,vegetarian,socially,never,graduated from college/university,white,60,-1,other,"berkeley, california","doesn&rsquo;t have kids, but might want them",gay,likes dogs,other,aquarius,no,english,single,4,5,3,6,6,75
6239,m,21,athletic,anything,socially,never,working on two-year college,middle eastern  white,72,-1,student,"berkeley, california",,straight,,atheism,gemini,no,"english,",single,4,7,10,9,7,53
6240,f,31,fat,anything,socially,sometimes,working on college/university,white,61,-1,student,"oakland, california",,straight,,other,cancer,no,english,single,9,6,4,4,8,78
6241,f,22,average,anything,socially,never,working on college/university,white,62,-1,student,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,,other,aries,no,english,single,2,3,5,6,5,51
6242,f,41,fit,vegetarian,socially,never,graduated from masters program,other,65,-1,other,"berkeley, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,capricorn,no,english,single,6,9,6,8,7,81
6243,f,42,thin,anything,socially,never,dropped out of law school,middle eastern,62,-1,clerical / administrative,"berkeley, california",has a kid,straight,,atheism,capricorn,,english,single,1,2,8,7,8,90
6244,f,27,average,anything,socially,never,graduated from college/university,white,64,-1,sales / marketing / biz dev,"berkeley, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,judaism,pisces,no,english,single,9,7,9,9,9,55
6245,m,31,average,anything,socially,never,graduated from college/university,other,71,1000000,education / academia,"emeryville, california",,straight,likes dogs and likes cats,agnosticism,aries,no,english,single,5,3,6,8,9,59
6246,m,48,average,anything,socially,never,working on masters program,hispanic   latin,66,30000,student,"berkeley, california",has kids,gay,has dogs and likes cats,christianity,capricorn,no,english,single,7,3,1,2,5,90
6247,f,32,fat,anything,rarely,never,working on college/university,white,71,-1,student,"berkeley, california",,straight,likes dogs and likes cats,other,aries,no,english,single,10,9,10,9,6,92
